date,serial_number,model,capacity_bytes,failure,smart_5_normalized,smart_187_normalized,smart_188_normalized,smart_197_normalized,smart_198_normalized
3/2/2019,ZJV2ECXH,ST12000NM0007,1.20E+13,1,100,100,100,100,100
4/2/2019,ZA16CLZT,ST8000NM0055,8.00E+12,1,100,100,100,100,100
4/2/2019,S300WCSR,ST4000DM000,4.00E+12,1,100,100,100,100,100
4/2/2019,ZCH0BABW,ST12000NM0007,1.20E+13,1,100,100,100,100,100
4/2/2019,ZCH07CRX,ST12000NM0007,1.20E+13,1,100,98,100,100,100
5/2/2019,ZCH0CK4L,ST12000NM0007,1.20E+13,1,100,100,100,100,100
5/2/2019,ZCH0BA12,ST12000NM0007,1.20E+13,1,100,100,100,100,100
5/2/2019,PL1331LAHEU86H,HGST HMS5C4040BLE640,4.00E+12,1,100,,,100,100
6/2/2019,Z304L856,ST4000DM000,4.00E+12,1,100,82,100,100,100
6/2/2019,ZCH0CZTV,ST12000NM0007,1.20E+13,1,100,100,100,100,100
6/2/2019,ZCH0818W,ST12000NM0007,1.20E+13,1,100,97,100,100,100
6/2/2019,96ICTBPTT,TOSHIBA MQ01ABF050,5.00E+11,1,100,,,100,100
6/2/2019,ZCH06DP9,ST12000NM0007,1.20E+13,1,100,99,100,100,100
6/2/2019,Z305DXS7,ST4000DM000,4.00E+12,1,100,100,100,100,100
6/2/2019,Z300VXA5,ST4000DM000,4.00E+12,1,100,95,100,100,100
7/2/2019,Z302CYHA,ST4000DM000,4.00E+12,1,100,92,100,100,100
7/2/2019,ZDEC8Y57,ST500LM030,5.00E+11,1,100,100,100,100,100
7/2/2019,ZCH0CLDX,ST12000NM0007,1.20E+13,1,100,100,100,100,100
7/2/2019,Z302EQBN,ST4000DM000,4.00E+12,1,100,100,100,100,100
7/2/2019,ZA121T2A,ST8000DM002,8.00E+12,1,100,95,100,100,100
7/2/2019,ZJV0016J,ST12000NM0007,1.20E+13,1,83,22,100,100,100
7/2/2019,Z304JG10,ST4000DM000,4.00E+12,1,100,96,100,100,100
7/2/2019,Z305PV18,ST4000DM000,4.00E+12,1,100,99,100,100,100
7/2/2019,ZA143SAS,ST8000DM002,8.00E+12,1,100,100,100,100,100
7/2/2019,ZA13AG2K,ST8000NM0055,8.00E+12,1,100,100,100,100,100
8/2/2019,WD-WX71A14S0199,WDC WD5000LPVX,5.00E+11,1,200,,,200,100
8/2/2019,ZA180R3Y,ST8000NM0055,8.00E+12,1,100,100,100,100,100
8/2/2019,ZA180N6K,ST8000NM0055,8.00E+12,1,100,100,100,100,100
8/2/2019,ZCH07TJ4,ST12000NM0007,1.20E+13,1,100,100,100,100,100
8/2/2019,ZJV2EB4D,ST12000NM0007,1.20E+13,1,100,100,100,100,100
8/2/2019,Z302T6F4,ST4000DM000,4.00E+12,1,100,93,100,100,100
8/2/2019,ZCH08PZD,ST12000NM0007,1.20E+13,1,100,81,100,100,100
9/2/2019,ZCH0D1PC,ST12000NM0007,1.20E+13,1,100,100,100,100,100
10/2/2019,ZCH0CJD5,ST12000NM0007,1.20E+13,1,100,100,100,100,100
10/2/2019,S300Z4LV,ST4000DM000,4.00E+12,1,100,91,100,100,100
10/2/2019,Z305DHXM,ST4000DM000,4.00E+12,1,100,93,100,100,100
10/2/2019,Z304LAEN,ST4000DM000,4.00E+12,1,100,94,100,100,100
10/2/2019,ZA13GZCA,ST8000NM0055,8.00E+12,1,100,97,100,100,100
10/2/2019,S300XE94,ST4000DM000,4.00E+12,1,100,100,100,100,100
10/2/2019,ZA1818CA,ST8000NM0055,8.00E+12,1,100,100,100,100,100
11/2/2019,ZJV02J5W,ST12000NM0007,1.20E+13,1,100,100,100,100,100
11/2/2019,ZJV009V2,ST12000NM0007,1.20E+13,1,100,94,100,100,100
11/2/2019,ZJV0079J,ST12000NM0007,1.20E+13,1,96,88,100,100,100
11/2/2019,PL1331LAGK9JRH,HGST HMS5C4040BLE640,4.00E+12,1,100,,,100,100
11/2/2019,ZCH0BJ05,ST12000NM0007,1.20E+13,1,100,100,100,100,100
11/2/2019,S30115HR,ST4000DM000,4.00E+12,1,99,99,100,100,100
11/2/2019,S2ZYJ9KFC03619,ST500LM012 HN,5.00E+11,1,252,,,100,252
11/2/2019,ZA171V9Z,ST8000NM0055,8.00E+12,1,100,100,100,100,100
11/2/2019,ZCH06HG5,ST12000NM0007,1.20E+13,1,92,80,100,100,100
11/2/2019,ZCH09RAW,ST12000NM0007,1.20E+13,1,100,100,100,100,100
11/2/2019,ZJV007FG,ST12000NM0007,1.20E+13,1,100,100,100,100,100
11/2/2019,ZCH07JLH,ST12000NM0007,1.20E+13,1,100,100,100,100,100
11/2/2019,Z3025K5H,ST4000DM000,4.00E+12,1,100,100,100,100,100
11/2/2019,ZCH0707D,ST12000NM0007,1.20E+13,1,100,44,100,100,100
12/2/2019,S301PSAT,ST4000DM000,4.00E+12,1,100,100,100,100,100
12/2/2019,ZJV04NSJ,ST12000NM0007,1.20E+13,1,96,91,100,100,100
12/2/2019,ZCH06HZL,ST12000NM0007,1.20E+13,1,98,100,100,100,100
12/2/2019,ZCH07VW8,ST12000NM0007,1.20E+13,1,100,100,100,100,100
13/2/2019,ZA189XD8,ST8000NM0055,8.00E+12,1,100,100,100,100,100
13/2/2019,ZJV04TMW,ST12000NM0007,1.20E+13,1,100,84,100,100,100
14/2/2019,ZA180Z3W,ST8000NM0055,8.00E+12,1,100,100,100,100,100
